date,symbol,signal,price
2026-03-06,TCB,BUY,31450.0
2026-03-06,DXG,BUY,14100.0
2026-03-06,MWG,BUY,82700.0
2026-03-06,HDB,BUY,25900.0
2026-03-06,BID,BUY,43550.0
2026-03-06,DBC,BUY,24600.0
2026-03-06,MSN,BUY,73300.0
2026-03-06,FPT,BUY,81600.0
2026-03-06,CTG,BUY,35650.0
2026-03-06,VCB,BUY,61600.0
2026-03-06,VHM,BUY,95000.0
2026-03-06,VRE,BUY,26250.0
2026-03-06,VPL,BUY,76700.0
2026-03-06,VNM,BUY,62400.0
2026-03-06,VJC,BUY,156400.0
2026-03-06,GVR,BUY,37750.0
2026-03-06,HAG,BUY,15550.0
2026-03-06,FRT,BUY,150600.0
2026-03-06,VTP,BUY,97600.0
2026-03-06,CTR,BUY,84500.0
2026-03-06,VGI,BUY,92100.0
2026-03-06,FOX,BUY,74500.0
2026-03-06,GEE,BUY,163500.0
2026-03-06,VGC,BUY,46000.0
2026-03-06,CII,BUY,16250.0
2026-03-06,KHG,BUY,5880.0
2026-03-06,KBC,BUY,32100.0
2026-03-06,CEO,BUY,16100.000000000002
2026-03-06,PDR,BUY,15600.0
2026-03-06,BCM,BUY,58600.0
2026-03-06,KDH,BUY,25700.0
2026-03-06,NVL,BUY,11250.0
2026-03-06,NLG,BUY,26000.0
2026-03-06,DXS,BUY,6420.0
2026-03-06,HDC,BUY,18600.0
2026-03-06,C4G,BUY,7500.0
2026-03-06,FCN,BUY,12000.0
2026-03-06,HSG,BUY,14800.0
2026-03-06,VDS,BUY,16950.0
2026-03-06,ANV,BUY,24650.0
2026-03-06,VHC,BUY,59200.0
